['city', 'AQI', 'PM2.5/1h', 'PM10/1h', 'CO/1h', 'NO2/1h', 'O3/1h', 'O3/8h', 'SO2/1h']
['海北州', '52', '12', '52', '0.4', '22', '58', '95', '16']
['海西州', '52', '27', '38', '0.6', '32', '63', '101', '21']
['怀化', '52', '21', '51', '1.1', '10', '89', '98', '5']
['景德镇', '52', '25', '52', '0.72', '13', '64', '95', '27']
['怒江州', '52', '20', '51', '0.85', '10', '66', '80', '10']
['新余', '52', '29', '52', '0.98', '23', '64', '80', '23']
['池州', '53', '32', '53', '0.57', '32', '36', '58', '9']
['黄山', '53', '20', '54', '0.73', '21', '35', '55', '17']
['六盘水', '53', '24', '54', '0.42', '16', '87', '94', '11']
['梅州', '53', '26', '47', '0.87', '23', '80', '102', '7']
['南平', '53', '19', '31', '0.6', '11', '77', '102', '3']
['清远', '53', '23', '54', '0.73', '41', '42', '102', '14']
['永州', '53', '25', '54', '0.43', '12', '63', '83', '9']
['玉林', '53', '26', '39', '0.77', '12', '74', '102', '16']
['福州', '54', '30', '55', '0.63', '23', '66', '101', '7']
['衡阳', '54', '33', '56', '0.92', '21', '54', '75', '14']
['塔城地区', '54', '7', '23', '1.8', '23', '89', '103', '5']
['孝感', '54', '31', '55', '1.0', '23', '58', '100', '9']
['富阳', '55', '38', '58', '1.1', '24', '74', '75', '8']
['赣州', '55', '37', '57', '1.46', '25', '77', '104', '21']
['贵阳', '55', '27', '58', '0.46', '23', '77', '99', '6']
['上饶', '55', '29', '57', '1.08', '14', '41', '62', '6']
['文山州', '55', '13', '26', '0.65', '13', '89', '104', '3']
['漳州', '55', '22', '58', '0.57', '15', '45', '87', '5']
['博州', '56', '24', '59', '0.25', '7', '97', '91', '9']
['贵港', '56', '19', '60', '0.5', '24', '31', '48', '6']
['湘西州', '56', '35', '60', '1.0', '34', '13', '63', '5']
['兴安盟', '56', '12', '47', '0.6', '22', '67', '105', '4']
['益阳', '56', '15', '39', '0.7', '14', '76', '105', '7']
['常德', '57', '33', '62', '1.02', '12', '81', '91', '11']
['果洛州', '57', '26', '49', '0.4', '19', '80', '107', '11']
['河池', '57', '27', '61', '0.93', '30', '50', '82', '6']
['红河州', '57', '16', '33', '0.4', '6', '94', '107', '7']
['龙岩', '57', '20', '32', '0.73', '22', '76', '107', '5']
['梧州', '57', '39', '62', '1.05', '24', '49', '66', '11']
['咸宁', '57', '34', '61', '1.2', '26', '49', '77', '1']
['宜春', '57', '37', '62', '0.68', '18', '59', '83', '12']
['安庆', '58', '31', '64', '0.55', '35', '54', '86', '5']
['呼伦贝尔', '58', '18', '35', '0.45', '29', '65', '108', '3']
['宁德', '58', '40', '60', '0.77', '16', '59', '94', '8']
['贺州', '59', '40', '66', '1.15', '37', '17', '61', '18']
['克拉玛依', '59', '10', '32', '0.72', '19', '84', '109', '4']
['昆明', '59', '21', '49', '0.6', '28', '91', '109', '11']
['商洛', '59', '39', '65', '0.9', '36', '66', '89', '7']
['芜湖', '59', '37', '65', '1.0', '35', '64', '98', '5']
['张掖', '59', '41', '61', '0.15', '9', '88', '104', '4']
['招远', '59', '31', '66', '0.95', '16', '58', '84', '4']
['鞍山', '60', '26', '47', '0.8', '14', '118', '110', '5']
['常州', '60', '42', '66', '1.04', '51', '80', '107', '15']
['崇左', '60', '15', '35', '0.65', '9', '85', '110', '5']
['嘉峪关', '60', '18', '64', '0.6', '39', '77', '110', '4']
['黔南州', '60', '19', '27', '0.2', '7', '102', '110', '3']
['昭通', '60', '12', '52', '0.55', '38', '74', '110', '16']
['安顺', '61', '24', '40', '0.55', '6', '93', '111', '2']
['大兴安岭地区', '61', '6', '23', '0.4', '10', '91', '111', '10']
['吉安', '61', '37', '69', '0.65', '16', '89', '102', '19']
['林芝', '61', '11', '60', '0.45', '5', '95', '112', '4']
